PixelSzam,OpenMP_Ido,OpenCL_1D_Ido,OpenCL_2D_Ido 
786432, 0.003000, 0.003000, 0.001000
921600, 0.003000, 0.005000, 0.001000
2073600, 0.004000, 0.008000, 0.003000
3686400, 0.011000, 0.016000, 0.003000
9020539, 0.016000, 0.028000, 0.013000
24000000, 0.033000, 0.053000, 0.028000
44736512, 0.058000, 0.099000, 0.051000
