PixelSzam,OpenMP_Ido,OpenCL_1D_Ido,OpenCL_2D_Ido 
786432, 0.002000, 0.003000, 0.001000
921600, 0.002000, 0.003000, 0.001000
2073600, 0.004000, 0.005000, 0.001000
3686400, 0.007000, 0.010000, 0.003000
9020539, 0.013000, 0.021000, 0.013000
24000000, 0.038000, 0.055000, 0.038000
44736512, 0.072000, 0.083000, 0.052000
