PixelSzam,OpenMP_Ido,OpenCL_1D_Ido,OpenCL_2D_Ido 
786432, 0.002000, 0.003000, 0.001000
921600, 0.004000, 0.004000, 0.001000
2073600, 0.005000, 0.004000, 0.002000
3686400, 0.006000, 0.010000, 0.003000
9020539, 0.011000, 0.022000, 0.014000
24000000, 0.030000, 0.054000, 0.035000
44736512, 0.052000, 0.098000, 0.054000
