PixelSzam,OpenMP_Ido,OpenCL_1D_Ido,OpenCL_2D_Ido 
786432, 0.002000, 0.005000, 0.001000
921600, 0.003000, 0.004000, 0.001000
2073600, 0.013000, 0.006000, 0.002000
3686400, 0.007000, 0.011000, 0.003000
9020539, 0.015000, 0.022000, 0.017000
24000000, 0.040000, 0.064000, 0.027000
44736512, 0.061000, 0.113000, 0.047000
